base_score,[481.9994324]
age,Score
"(-inf, 36.0]",-4.106197372368507
"(36.0, 54.0]",-2.183258249597212
"(54.0, 61.0]",1.9536365435741638
"(61.0, 74.0]",7.890445657671251
"(74.0, inf]",13.44623033310069
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",47.59889482101833
"(0.099, 0.298]",14.446900293452691
"(0.298, 0.465]",-2.6977952223791926
"(0.465, 0.983]",-23.218996541860687
"(0.983, 1.0]",-10.310735234369195
"(1.0, inf]",-44.07521656306935
DebtRatio,Score
"(-inf, 0.0174]",34.1837901641313
"(0.0174, 0.321]",1.6577197532998151
"(0.321, 1.472]",-7.093108379825416
"(1.472, inf]",3.970146084562174
MonthlyIncome,Score
"(-inf, 0.0985]",17.222749291761936
"(0.0985, 6170.119]",-2.9166521636181
"(6170.119, inf]",3.7688853819858266
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.621017692433219
"(1.0, 3.0]",-2.9450020919884907
"(3.0, 5.0]",-0.5335401993501774
"(5.0, 17.0]",1.119861509760411
"(17.0, inf]",4.184997095459662
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.492252382920462
"(0.0, 1.0]",-13.600621661239927
"(1.0, 2.0]",-21.49691486657199
"(2.0, inf]",-23.976708559125978
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8970111659955498
"(0.0, 1.0]",-29.036152781066875
"(1.0, 2.0]",-37.37043266875922
"(2.0, inf]",-39.79535003889731
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.77964424948188
"(0.0, 1.0]",5.352106252341896
"(1.0, 2.0]",16.877739730208162
"(2.0, 4.0]",10.539476535986726
"(4.0, inf]",-8.066143090841601
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.0133441015358007
"(0.0, 1.0]",-11.280182912477258
"(1.0, 2.0]",-14.391375021474454
"(2.0, inf]",-14.709144233957666
NumberOfDependents,Score
"(-inf, 0.0]",14.444779533448125
"(0.0, 1.0]",-13.423983358080894
"(1.0, 2.0]",-12.216930055879837
"(2.0, inf]",-11.037467361936653
